undirected
20
90
1,2,0
1,4,0
1,6,0
1,7,0
1,9,0
1,11,0
1,12,0
1,13,0
1,15,0
1,18,0
1,20,0
2,5,0
2,6,0
2,9,0
2,13,0
2,14,0
2,16,0
2,17,0
3,4,0
3,5,0
3,10,0
3,14,0
3,16,0
3,18,0
3,20,0
4,6,0
4,11,0
4,14,0
4,20,0
5,8,0
5,9,0
5,13,0
5,14,0
5,15,0
5,17,0
5,18,0
5,19,0
5,20,0
6,7,0
6,9,0
6,10,0
6,12,0
6,13,0
6,14,0
6,15,0
6,17,0
7,8,0
7,12,0
7,18,0
7,19,0
8,10,0
8,11,0
8,12,0
8,16,0
8,17,0
8,18,0
8,20,0
9,11,0
9,13,0
9,14,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
10,11,0
10,13,0
10,14,0
10,15,0
10,16,0
10,18,0
11,12,0
11,13,0
11,18,0
11,20,0
12,14,0
12,16,0
12,18,0
12,19,0
12,20,0
13,14,0
14,15,0
14,16,0
14,17,0
15,17,0
15,20,0
16,18,0
16,20,0
17,20,0
18,20,0
